name,affiliation,country
Aamir Ullah Khan,NATIONAL UNIVERSITY OF COMPUTER AND EMERGING SCIENCES ISLAMABAD,PK
Aanchal Malhotra,BOSTON UNIVERSITY,US
Aaron Akrofi,"UNIVERSITY OF PROFESSIONAL STUDIES, ACCRA",GH
Aaron Boyd,ABI RESEARCH,US
Aaron Falk,AKAMAI TECHNOLOGIES,US
Aaron Glenn,AAGLENN INTERNETWORKING COMPANY,DE
Aaron Moger,IMAGINING THE INTERNET,US
Aaron Morgan,GEORGIA INSTITUTE OF TECHNOLOGY,US
Aaron Nelson,VERILAN,US
Aaron Parecki,OKTA,US
Aaron Robert Gember-Jacobson,UNIVERSITY OF WISCONSIN,US
Aaron Smith,XIRRUS,US
Aaron Stone,LINDEN LAB RESEARCH,US
Aaron Woland,CISCO SYSTEMS INC,US
Aaron Zeiler,SPITFIRE STRATEGIES,US
Aastha Gupta,DELHI INSTITUTE OF ADVANCED STUDIES,IN
Aayushi Prakasham,G.L BAJAJ GROUP OF INSTITUTIONS,IN
Abade Odira,NAGOYA UNIVERSITY,JP
Abbas Ali Shah,HUMANITY FRIENDS ORGANIZATION,PK
Abdeldjalil Bachar Bong,HOUSE OF AFRICA,TD
Abdelouareth Barkati,LOURABI YOUCEF,DZ
Abdelrahman Ibrahim,CISCO SYSTEMS INC,AE
Abdou Ab Cham,GAMBIA POLICE FORCE,GM
Abdou Salam Touray,TOURAY ENTERPRISE,GM
Abdoul Karim Barry,SGCA,GN
Abdoulaye Diouf,TECHNOLOGY CONSULTING SERVICES,SN
Abdoulaye Sall,ISO,ML
Abdoulie Boye,THE GAMBIA TELECOMMUNICATION COMPANY LTD,GM
Abdrahamane Samba Sidibe,AGETIC,ML
Abdul Khan,PVT JOB,PK
Abdul Qowiyyu Olamilekan,"UNIVERSITY OF LAGOS,AKOKA YABA",NG
Abdul Wasey Mohammed,VIEWGATE TECHNOLOGIES PRIVATE LIMITED,IN
Abdullah Mamun,OPEN COMMUNICATION LTD.,BD
Abdullahi Mohamed,MOGADISHU MUNICIPALITY,SO
Abdulrahman Alghadir,CITC,SA
Abdur Rashid Sangi,HUAIYIN INSTITUTE OF TECHNOLOGY,CN
Abdussalam Baryun,UNIVERSITY OF TRIPOLI,LY
Abedelaziz Mohaisen,"VERISIGN INTERNATIONAL HOLDINGS, INC.",US
Abel Alemayehu Woldesemayat,KOPOOKA BUSINESS PLC,ET
Abel Yang,TAIWAN NETWORK INFORMATION CENTER,TW
Abhay Roy,ARRCUS,US
Abhay Verma,AMITY UNIVERSITY,IN
Abhijan Bhattacharyya,TATA CONSULTANCY,IN
Abhijit Choudhury,CISCO SYSTEMS INC,US
Abhijit Gokaraju,ECI TELECOM,IN
Abhiroop Bhowmick,MCKV INSTITUTE OF ENGINEERING,IN
Abhisek Anand,AMITY UNIVERSITY,IN
Abhishek Asthana,JUNIPER NETWORKS,IN
Abhishek Deshmukh,JUNIPER NETWORKS,US
Abhishek Mishra,MP ONLINE,BW
Abhishek Pandey,ARIC,IN
Abhishek Ranjan,DELHI INSTITUTE OF ADVANCED STUDIES,IN
Abhyuday Sinha,AMITY UNIVERSITY,IN
Abie Frazer,GOODWILL TECHNOLOGIES ENTERPRISE LTD,GM
Abinash Singh,MCKVIE,IN
Abou Diaby,ETS DIABY ABOU,CI
Abraham Djekou,ATCI,CI
Abraham Nii Tetteh Moncar,JUDICIAL SERVICE OF GHANA,GH
Abrar Mohamed,VEOLIA,OM
Abu Hamed Mohammad Misbah Uddin,KTH - ROYAL INSTITUTE OF TECHNOLOGY,SE
Abubacarr Saidykhan,GAMCOTRAP,GM
