name,affiliation
A Kasthurirangan,IBM
Aamer Hydrie,MICROSOFT
Aaron Balint,PANASONIC CORPORATION
Aaron Block,BBN CORPORATION
Aaron Dudek,SPRINT CORPORATION
Aaron Griggs,UNIVERSITY OF SOUTHERN CALIFORNIA
Aaron Jaggard,TULANE UNIVERSITY
Aaron Tong,JUNIPER NETWORKS
Abbas Bagasrawala,"XYLOGICS, INC."
Abbie Agocs,"SUN MICROSYSTEMS, INC."
Abbie Barbir,NORTEL NETWORKS LIMITED
Abdallah Rayhan,NORTEL NETWORKS LIMITED
Abdella Battou,U.S. DEPARTMENT OF COMMERCE
Abderrahmane Lakas,NORTEL NETWORKS LIMITED
Abdul Aleem Junaid Shaik,UNIVERSITAT POLITECNICA DE CATALUNYA
Abdul Mukit Malik,DESERET LINE INTERNET SERVICES
Abdul Rahim,CISCO SYSTEMS INC
Abdul-Jabbar Asiri,NORTEL NETWORKS LIMITED
Abdur Chowdhury,UNIVERSITY OF MARYLAND
Abel Weinrib,INTEL CORPORATION
Abhay Parekh,"SUN MICROSYSTEMS, INC."
Abhijit Kudrimoti,QUALCOMM INC
Abigail Surtees,SIEMENS AG
Abinder Dhillon,FUJITSU LIMITED
Abir Hnidi,ASCEND COMMUNICATIONS
Abolade Gbadegesin,MICROSOFT
Abraham Lui,HEWLETT-PACKARD COMPANY
Abraham Martey,CISCO SYSTEMS INC
Abraham Matthews,NEC CORPORATION
Ac Mahendran,QUALCOMM INC
Achemlal Mohammed,ORANGE SA
Achim Schreiber,IABG MBH
Adailton Silva,BRAZILIAN RESEARCH NETWORK
Adam Barr,MICROSOFT
Adam Bishop,JISC
Adam Braa,MICROSOFT
Adam Caldwell,EPOCH INTERNET
Adam Dunstan,AVICI SYSTEMS
Adam Geffen,VERIO INC.
Adam Goldberg,EXODUS
Adam Golecky,NFX
Adam Lewis,MOTOROLA MOBILITY
Adam Li,DIVXNETWORKS INC.
Adam Machalek,NMS COMMUNICATIONS
Adam Migus,NETWORK ASSOCIATES LABORATORIES
Adam Mikulic,"CZ.NIC, Z.S.P.O."
Adam Nowak,POZNAN UNIVERSITY
Adam Osuchowski,SILESIAN UNIV. OF TECHNOLOGY COMPUTER CENTER
Adam Smith,MEDIA ONE
Adam Stolinski,SCHNEIDER ELECTRIC SA
Adam Yeung,CISCO SYSTEMS INC
Adeel Ahmed,CISCO SYSTEMS INC
Adel Fahmy,IBM
Adil Andaloussi,ORANGE SA
Adil Sulieman,THE AFRICAN UNION COMMISSION
Adina Simu,CISCO SYSTEMS INC
Adnan Saleem,RADISYS CORPORATION
Adokoe Plakoo,INRIA INSTITUT NATIONAL DE RECHERCHE EN INFORMATIQUE ET EN AUTOMATIQUE
Adolfo Nemirovsky,CARNEGIE MELLON UNIVERSITY
Adrian Brooks,BRITISH TELECOMMUNICATIONS PLC
